500f5d5293e83dfe0abb3c0842d215c348829966,昨天 03:02,天月动漫&发布组,[天月搬运组] 盾之勇者成名录 第二季 / Tate no Yuusha no Nariagari S02 - 08 [1080P][简繁日外挂] [复制磁连],158.5MB
76842d8b8fd56927f31355b45f0bed75f202fc93,昨天 03:01,天月动漫&发布组,[天月搬运组] 小鸟之翼 / Birdie Wing - Golf Girls Story - 08 [1080P][简繁日外挂] [复制磁连],170MB
d6cb8ddc9419e33e43bb669b1b44ab27a7852d5b,昨天 01:44,Lilith-Raws,[Lilith-Raws] 相合之物 / Deaimon - 08 [Baha][WEB-DL][1080p][AVC AAC][CHT][MP4] [复制磁连],471.44 MB
9be0af5b85b32ed2dd56cdad56dbcf5bc9bc54d6,昨天 00:56,NaN-Raws,[NaN-Raws]RPG_不动产[8][Bilibili][WEB-DL][1080P+][AVC_AAC][CHT][MP4][bangumi.online] [复制磁连],290.54 MB
47878c252c0a9c7e95d9ee296540e558e4dd76f3,昨天 00:54,漫猫字幕组&爱恋字幕组  爱恋字幕社  漫猫字幕组,[爱恋&漫猫字幕组][4月新番][间谍过家家][SPY × FAMILY][07][1080p][MP4][简中] [复制磁连],425.95 MB
2b088029f887bb63b4384afc3ede1e02f8780790,昨天 00:54,漫猫字幕组&爱恋字幕组  爱恋字幕社  漫猫字幕组,[爱恋&漫猫字幕组][4月新番][间谍家家酒][SPY × FAMILY][07][1080p][MP4][繁中] [复制磁连],426.02 MB
8abb487bd1afecf5f5753e55688e439e7fcd326b,昨天 00:01,NaN-Raws,[NaN-Raws]相合之物[8][Bahamut][WEB-DL][1080P][AVC_AAC][CHT][MP4][bangumi.online] [复制磁连],471.61 MB
f9af8f0fc40460f5bb3a3b15507fdd74839210f4,2022/05/25 23:31,NC-Raws,[NC-Raws] 相合之物 / Deaimon - 08 (B-Global 1920x1080 HEVC AAC MKV) [复制磁连],661.06 MB
605db4a67191db262a8f723bdf3de2bb8726ca97,2022/05/25 23:31,ANi,[ANi] Deaimon Recipe for Happiness - 相合之物 - 08 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4] [复制磁连],471.71 MB
10203abe342a30a78a5b9f751b6d29d156faef62,2022/05/25 23:31,NC-Raws,[NC-Raws] 相合之物 / Deaimon - 08 (Baha 1920x1080 AVC AAC MP4) [复制磁连],471.61 MB
b66ed077614f9d2a961c88c8b5e3330106ffcf95,2022/05/25 22:59,动漫国字幕组,【动漫国字幕组】★04月新番[夏日时光 / 夏日重现][05][1080P][简体][MP4] [复制磁连],497.28 MB
091fe15b398842b73191b5bd6cb4cd6da9cec859,2022/05/25 22:59,动漫国字幕组,【动漫国字幕组】★04月新番[夏日时光 / 夏日重现][05][1080P][繁体][MP4] [复制磁连],497.1 MB
5c0ae805f71b795d6ee028ccd4d12e86bdf0071b,2022/05/25 22:59,动漫国字幕组,【动漫国字幕组】★04月新番[夏日时光 / 夏日重现][05][720P][简体][MP4] [复制磁连],232.68 MB
79547c47a6a85f26f00a2e9b6fecf7f8f4ec8c7a,2022/05/25 22:59,动漫国字幕组,【动漫国字幕组】★04月新番[夏日时光 / 夏日重现][05][720P][繁体][MP4] [复制磁连],232.65 MB
1cc1e1e9c7ec075054081aecbc4adb7427e8a436,2022/05/25 22:49,MingYSub,[MingY] RPG不动产 / RPG Fudousan [08][1080p][简体内嵌] [复制磁连],342.9 MB
c00dd2bb63a9c27d7824a65582bf0166783ede2e,2022/05/25 21:51,LoliHouse,[LoliHouse] 键等 / Kaginado - 19 [WebRip 1080p HEVC-10bit AAC][简繁内封字幕] [复制磁连],129.44 MB
bac0716248a41f978d00cb4195feafc73586d4f8,2022/05/25 21:31,ANi,[ANi] RPG Real Estate - RPG 不动产（仅限港澳台地区） - 08 [1080P][Bilibili][WEB-DL][AAC AVC][CHT CHS][MP4] [复制磁连],599.58 MB
ec40f1a67d47269eb38bf1c25b837688a9b9a500,2022/05/25 21:31,NC-Raws,[NC-Raws] RPG不动产 / RPG Fudousan - 08 (B-Global 1920x1080 HEVC AAC MKV) [复制磁连],646.66 MB
c3d5630926f1f34cf242322192ff8f1fd2e350e9,2022/05/25 21:11,NaN-Raws,[NaN-Raws]盾之勇者成名录_第二季[8][Bahamut][WEB-DL][1080P][AVC_AAC][CHT][MP4][bangumi.online] [复制磁连],407.85 MB
9ebcb6b03a79ac513227b4b46832a8a896d90358,2022/05/25 21:08,Lilith-Raws,[Lilith-Raws] 盾之勇者成名录 / Tate no Yuusha no Nariagari S02 - 08 [Baha][WEB-DL][1080p][AVC AAC][CHT][MP4] [复制磁连],407.69 MB
89f4d310318159655f73f5967920908d5191da89,2022/05/25 21:06,Lilith-Raws,[Lilith-Raws] 史上最强大魔王转生为村民 A / Shijou Saikyou no Daimaou - 08 [Baha][WEB-DL][1080p][AVC AAC][CHT][MP4] [复制磁连],546.24 MB
a3cf5027cff9dbdbb6165f6bd2c87519e9c8d12a,2022/05/25 21:01,NC-Raws,[NC-Raws] 盾之勇者成名录 第二季 / Tate no Yuusha no Nariagari S2 - 08 (B-Global 1920x1080 HEVC AAC MKV) [复制磁连],646.15 MB
6769318148059749bf7bf0221697dd5b64fb8ccf,2022/05/25 21:01,ANi,[ANi] The Rising of the Shield Hero S2 - 盾之勇者成名录 第二季 - 08 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4] [复制磁连],408.26 MB
10c87e7239cec183968663b3b66ad2d93972dc4f,2022/05/25 21:00,NC-Raws,[NC-Raws] 盾之勇者成名录 第二季 / Tate no Yuusha no Nariagari S2 - 08 (Baha 1920x1080 AVC AAC MP4) [复制磁连],407.85 MB
412630054b00f373c09390b14adc6a904a917d00,2022/05/25 20:33,NaN-Raws,[NaN-Raws]史上最强大魔王转生为村民_A[8][Bahamut][WEB-DL][1080P][AVC_AAC][CHT][MP4][bangumi.online] [复制磁连],546.4 MB
33ccf110fc3e3a361359c91449120c173d202e0b,2022/05/25 20:21,生肉/不明字幕,东京喰种√A/东京食尸鬼√A.Tokyo Ghoul√A 2015 1080p HDTVRip x264 AAC-WOLF字幕组 [复制磁连],4.79 GB
b3e36da9fd75a0ad0c03d9be64b08b6522dfa48d,2022/05/25 20:21,生肉/不明字幕,东京喰种√A/东京食尸鬼√A.Tokyo Ghoul√A 2015 720p HDTVRip x264 AAC-旋风字幕组 [复制磁连],2.47 GB
377ce37ab55e248d53a8c9b8e4507261c047f6c5,2022/05/25 20:21,生肉/不明字幕,东京喰种√A/东京食尸鬼√A.Tokyo Ghoul√A 2015 720p HDTVRip x264 AAC-天空树双语字幕组 [复制磁连],2.61 GB
a7a79ab38b555ca02b2daa5e284e669bef39f849,2022/05/25 20:21,生肉/不明字幕,东京喰种√A/东京食尸鬼√A.Tokyo Ghoul√A 2015 720p HDTVRip x264 AAC-紫音字幕组&dmlxg [复制磁连],2.09 GB
847ee761c5d4d267b62fb3431a5749ede8435788,2022/05/25 20:20,生肉/不明字幕,东京喰种√A/东京食尸鬼√A.Tokyo Ghoul√A 2015 720p HDTVRip x264 AAC-萌物百科字幕社 [复制磁连],1.56 GB
cb125d5b7a2f910699f9d2ec7f9c59b04e1c4399,2022/05/25 20:07,ANi,[ANi] 史上最强大魔王转生为村民 A - 08 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4] [复制磁连],546.5 MB
655934b57c99b9624deb3d372efb60ea3170f543,2022/05/25 20:06,NC-Raws,[NC-Raws] 史上最强大魔王转生为村民 A / Shijou Saikyou no Daimaou - 08 (Baha 1920x1080 AVC AAC MP4) [复制磁连],546.4 MB
587d77224f8ae7fd22de17b6196d5a55fa9fa8df,2022/05/25 20:06,NC-Raws,[NC-Raws] 史上最强大魔王重生为村民甲 / Shijou Saikyou no Daimaou - 08 (B-Global 1920x1080 HEVC AAC MKV) [复制磁连],646.23 MB
46de12ed51752f8d551ddd28dbab54a0e9a935e0,2022/05/25 20:00,NC-Raws,[NC-Raws] 星际一游 / Interstellar Wanderer - 07 (B-Global Donghua 1920x1080 HEVC AAC MKV) [复制磁连],274.23 MB
15106f4aa341e634cc85c179aa30e44827edaa92,2022/05/25 19:51,喵萌奶茶屋,【喵萌奶茶屋】★04月新番★[相合之物/Deaimon][07][1080p][简体][招募翻译校对] [复制磁连],453.45 MB
3290f79bfb03fd7385d83b0d1f5fe2511ce22585,2022/05/25 13:44,Lilith-Raws,[Lilith-Raws] 小鸟之翼 / Birdie Wing - Golf Girls Story - 08 [Baha][WEB-DL][1080p][AVC AAC][CHT][MP4] [复制磁连],441.66 MB
aaf9874a07c1410717792958063ecd7e40f7539f,2022/05/25 13:38,orion个人发布,[猎户不鸽发布组] 勇者辞职不干了 Yuusha Yamemasu [08] [1080p+] [简中] [网盘] [2022年4月番] [复制磁连],"1,018.2 MB"
e1e139c5859f860e5395f418ee5e68ab1569fa24,2022/05/25 13:36,orion个人发布,[猎户不鸽发布组] 勇者辞职不干了 Yuusha Yamemasu [08] [1080p] [简中] [网盘] [2022年4月番] [复制磁连],422.5 MB
170255da05c8c795a49149d898b8ba9aa484be6b,2022/05/25 13:31,生肉/不明字幕,[GalaxyRailroad-888]游戏王GO RUSH!! Yu-Gi-Oh! GO RUSH !! 008 720P [GB_简中] [复制磁连],258.4MB
782c4af564ec6a60ed4a693a81db31006723b591,2022/05/25 11:36,orion个人发布,[猎户不鸽发布组] 攻壳机动队 SAC_2045 第二季 Ghost in the Shell SAC_2045 S2 [01] [1080p] [简日内嵌] [H265 AAC] [网飞2022年4月番] [复制磁连],563.3 MB
23e0ae940c545776f2b7359b65a03b0474855826,2022/05/25 11:10,orion个人发布,[猎户不鸽发布组] 爱、死亡和机器人 第三季 Love Death and Robots S03 [02] [1080p] [中英内嵌] [H265 AAC] [网飞2022年4月动漫] [复制磁连],515.1 MB
89739b891b8db41d08c7e2684e43b675941cafd2,2022/05/25 11:10,生肉/不明字幕,[NaN-Raws]小鸟之翼[8][Bahamut][WEB-DL][1080P][AVC_AAC][CHT][MP4][bangumi.online] [复制磁连],441.82 MB
16aad1687b8532a63c3272b12a96e956da8057ac,2022/05/25 11:01,ANi,[ANi] Birdie Wing Golf Girls Story - 小鸟之翼 - 08 [1080P][Baha][WEB-DL][AAC AVC][CHT][MP4] [复制磁连],441.93 MB
8ecfc6f3c2829d1b2d8d8dab61b8d6c8e66b3b50,2022/05/25 11:01,NC-Raws,[NC-Raws] 小鸟之翼 高尔夫少女 / Birdie Wing: Golf Girls' Story - 08 (B-Global 1920x1080 HEVC AAC MKV) [复制磁连],652.07 MB
932b31f3bd9b4d37603d04a5ff114ebf2c6228af,2022/05/25 11:00,NC-Raws,[NC-Raws] 小鸟之翼 / Birdie Wing: Golf Girls' Story - 08 (Baha 1920x1080 AVC AAC MP4) [复制磁连],441.82 MB
533ca9beaec90675f089cf18ccc66e6ff16fe7b8,2022/05/25 10:22,动漫萌,[动漫萌][4月新番][间谍过家家/间谍家家酒/Spy X Family ][BIG5][05][1080P](字幕组招募内详) [复制磁连],549.99 MB
125e7911fc16af2cbf9027366d69a743b7128993,2022/05/25 10:20,动漫萌,[动漫萌][4月新番][间谍过家家/间谍家家酒/Spy X Family ][GB][05][1080P](字幕组招募内详) [复制磁连],550.2 MB
aa114a2743ca2c67ceb2ab95155b19e2f203caad,2022/05/25 09:54,桜都字幕组,[桜都字幕组] 间谍过家家 / Spy x Family [07][1080p][简繁内封] [复制磁连],330.95 MB
